iter	Passed	Remaining
0	2	240
1	4	218
2	6	215
3	8	200
4	10	205
5	12	200
6	15	201
7	17	196
8	20	203
9	22	202
10	24	199
11	27	199
12	29	195
13	31	193
14	33	192
15	36	189
16	37	183
17	39	178
18	40	171
19	42	169
20	43	165
21	45	160
22	47	158
23	48	154
24	50	151
25	52	148
26	53	145
27	55	142
28	57	139
29	58	136
30	60	134
31	62	132
32	64	130
33	66	128
34	68	127
35	70	125
36	72	122
37	74	120
38	76	119
39	77	116
40	79	114
41	80	111
42	82	109
43	84	107
44	85	104
45	87	102
46	89	100
47	91	99
48	93	96
49	94	94
50	96	92
51	98	91
52	101	89
53	103	88
54	104	85
55	106	83
56	108	81
57	110	79
58	112	77
59	114	76
60	116	74
61	118	72
62	120	70
63	122	69
64	125	67
65	127	65
66	128	63
67	131	61
68	133	59
69	135	57
70	136	55
71	138	54
72	140	52
73	142	50
74	144	48
75	146	46
76	148	44
77	150	42
78	151	40
79	153	38
80	155	36
81	156	34
82	158	32
83	159	30
84	161	28
85	162	26
86	164	24
87	165	22
88	167	20
89	168	18
90	169	16
91	171	14
92	172	13
93	174	11
94	175	9
95	176	7
96	178	5
97	179	3
98	180	1
99	181	0
