iter	Passed	Remaining
0	148	147867
1	150	75015
2	152	50709
3	154	38560
4	156	31147
5	157	26156
6	160	22819
7	162	20191
8	164	18093
9	165	16370
10	166	14963
11	167	13780
12	168	12810
13	169	11940
14	170	11178
15	170	10515
16	171	9929
17	172	9408
18	174	9000
19	175	8597
20	176	8218
21	177	7874
22	178	7571
23	179	7293
24	180	7022
25	180	6774
26	181	6549
27	182	6332
28	183	6128
29	183	5937
30	184	5761
31	185	5597
32	185	5442
33	186	5294
34	186	5154
35	188	5045
36	190	4965
37	192	4864
38	192	4751
39	193	4649
40	194	4555
41	195	4457
42	196	4362
43	196	4272
44	197	4187
45	198	4108
46	198	4028
47	199	3952
48	199	3881
49	200	3812
50	201	3744
51	203	3703
52	204	3661
53	205	3604
54	206	3549
55	207	3494
56	208	3442
57	208	3394
58	209	3345
59	210	3295
60	210	3247
61	211	3200
62	212	3156
63	212	3112
64	213	3069
65	214	3028
66	214	2990
67	215	2951
68	216	2914
69	218	2906
70	219	2876
71	220	2843
72	221	2809
73	222	2778
74	223	2751
75	224	2726
76	225	2702
77	226	2673
78	226	2643
79	227	2614
80	227	2585
81	228	2558
82	228	2528
83	229	2505
84	230	2481
85	231	2457
86	233	2451
87	234	2429
88	235	2407
89	236	2389
90	237	2370
91	238	2351
92	238	2329
93	239	2310
94	240	2291
95	241	2272
96	241	2252
97	242	2233
98	243	2215
99	244	2196
100	244	2177
101	245	2159
102	245	2141
103	247	2132
104	248	2119
105	249	2103
106	250	2090
107	251	2075
108	252	2060
109	253	2047
110	253	2032
111	254	2017
112	255	2002
113	255	1987
114	256	1973
115	257	1958
116	257	1943
117	258	1929
118	258	1915
119	259	1902
120	260	1890
121	260	1876
122	261	1865
123	263	1864
124	264	1854
125	265	1842
126	266	1830
127	267	1820
128	267	1809
129	268	1798
130	269	1786
131	269	1774
132	270	1763
133	271	1752
134	271	1741
135	272	1730
136	272	1719
137	273	1709
138	274	1698
139	274	1689
140	275	1679
141	276	1668
142	277	1664
143	279	1660
144	280	1651
145	280	1642
146	281	1633
147	282	1624
148	283	1617
149	283	1608
150	284	1599
151	285	1590
152	285	1581
153	286	1573
154	287	1565
155	287	1556
156	288	1549
157	289	1540
158	289	1532
159	290	1524
160	290	1515
161	291	1507
162	293	1504
163	294	1500
164	295	1494
165	296	1489
166	297	1481
167	297	1474
168	298	1466
169	298	1459
170	299	1452
171	300	1445
172	300	1437
173	301	1430
174	302	1423
175	302	1417
176	303	1410
177	303	1403
178	304	1396
179	305	1390
180	305	1384
181	306	1377
182	307	1374
183	308	1369
184	309	1365
185	310	1360
186	311	1354
187	312	1347
188	312	1341
189	313	1335
190	314	1329
191	314	1324
192	315	1318
193	315	1312
194	316	1306
195	317	1300
196	317	1294
197	318	1289
198	318	1283
199	319	1278
200	320	1272
201	320	1267
202	321	1263
203	323	1260
204	324	1257
205	325	1253
206	325	1248
207	326	1243
208	327	1238
209	327	1233
210	328	1228
211	329	1223
212	329	1218
213	330	1213
214	331	1208
215	331	1203
216	332	1199
217	332	1194
218	333	1189
219	334	1186
220	335	1181
221	335	1176
222	336	1172
223	339	1175
224	340	1172
225	341	1170
226	342	1165
227	343	1161
228	343	1156
229	344	1152
230	344	1148
231	345	1143
232	346	1139
233	346	1135
234	347	1131
235	348	1126
236	348	1122
237	349	1118
238	350	1114
239	350	1110
240	351	1106
241	352	1104
242	353	1101
243	354	1099
244	355	1096
245	356	1092
246	357	1089
247	357	1084
248	358	1080
249	359	1077
250	359	1073
251	360	1069
252	361	1065
253	361	1062
254	362	1058
255	362	1054
256	363	1051
257	364	1047
258	364	1043
259	365	1040
260	366	1036
261	367	1034
262	369	1035
263	370	1032
264	371	1029
265	371	1026
266	372	1023
267	373	1019
268	373	1016
269	374	1012
270	375	1009
271	375	1006
272	376	1003
273	377	1000
274	378	996
275	378	993
276	379	990
277	380	987
278	380	984
279	383	985
280	384	984
281	386	983
282	387	981
283	387	978
284	388	975
285	389	972
286	389	968
287	390	965
288	391	962
289	392	959
290	392	956
291	393	953
292	393	950
293	394	947
294	395	944
295	395	941
296	396	938
297	398	937
298	399	935
299	400	933
300	400	930
301	401	928
302	402	925
303	402	922
304	403	919
305	404	917
306	405	914
307	405	911
308	406	908
309	407	905
310	407	903
311	408	900
312	408	897
313	409	894
314	410	891
315	410	888
316	412	887
317	413	886
318	414	885
319	415	883
320	416	881
321	417	878
322	418	876
323	418	873
324	419	870
325	419	868
326	420	865
327	421	863
328	422	860
329	422	858
330	423	855
331	423	852
332	424	850
333	425	847
334	425	845
335	427	844
336	428	843
337	429	841
338	430	840
339	431	837
340	432	835
341	432	833
342	433	830
343	434	828
